taiwan_trading_date,return_target,return_target_type,taiwan_target_type,taiwan_sector,candidate_count,positive_count,negative_count,neutral_count,unavailable_count,mean_impact_score,sum_impact_score,max_abs_impact_score,mean_combined_confidence,final_directional_label,return_data_available,prev_close_to_open_return,open_to_close_return,close_to_close_return,next_close_to_close_return,duplicate_key_count,panel_notes,is_potentially_positive,is_potentially_negative,is_neutral,us_control_date,control_data_notes,qqq_return,soxx_return,smh_return,nvda_return,amd_return,tsm_adr_return
2026-02-02,2330.TW,ticker,ticker,Semiconductor Foundry,1,1,0,0,0,0.120000,0.120000,0.120000,0.450000,potentially_positive,True,0.003220,0.004600,0.005520,0.004140,0,,1,0,0,2026-02-01,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-02-02,2454.TW,ticker,ticker,Semiconductor Design,1,0,1,0,0,-0.104000,-0.104000,0.104000,0.460000,potentially_negative,True,-0.001319,-0.001885,-0.002262,-0.001697,0,,0,1,0,2026-02-01,,0.000500,0.000700,0.000600,0.001000,0.000800,0.000400
2026-02-02,2382.TW,ticker,ticker,AI Server and ODM,1,0,0,1,0,0.000000,0.000000,0.000000,0.470000,neutral,True,0.001029,0.001470,0.001764,0.001323,0,,0,0,1,2026-02-01,,0.001000,0.001400,0.001200,0.002000,0.001600,0.000800
2026-02-02,6669.TW,ticker,ticker,AI Server and Cloud Infrastructure,1,1,0,0,0,0.120000,0.120000,0.120000,0.480000,potentially_positive,True,0.003713,0.005305,0.006366,0.004775,0,,1,0,0,2026-02-01,,0.001500,0.002100,0.001800,0.003000,0.002400,0.001200
2026-02-02,2317.TW,ticker,ticker,AI Server Assembly,1,0,1,0,0,-0.116000,-0.116000,0.116000,0.490000,potentially_negative,True,-0.001078,-0.001540,-0.001848,-0.001386,0,,0,1,0,2026-02-01,,0.002000,0.002800,0.002400,0.004000,0.003200,0.001600
2026-02-02,3711.TW,ticker,ticker,Semiconductor Packaging and Testing,1,0,0,1,0,0.000000,0.000000,0.000000,0.500000,neutral,True,0.001522,0.002175,0.002610,0.001958,0,,0,0,1,2026-02-01,,0.002500,0.003500,0.003000,0.005000,0.004000,0.002000
2026-02-03,2330.TW,ticker,ticker,Semiconductor Foundry,1,1,0,0,0,0.125000,0.125000,0.125000,0.460000,potentially_positive,True,0.003664,0.005235,0.006282,0.004712,0,,1,0,0,2026-02-02,,0.001000,0.001500,0.001200,0.002000,0.001700,0.001100
2026-02-03,2454.TW,ticker,ticker,Semiconductor Design,1,0,1,0,0,-0.104000,-0.104000,0.104000,0.470000,potentially_negative,True,-0.000980,-0.001400,-0.001680,-0.001260,0,,0,1,0,2026-02-02,,0.001500,0.002200,0.001800,0.003000,0.002500,0.001500
2026-02-03,2382.TW,ticker,ticker,AI Server and ODM,1,0,0,1,0,0.000000,0.000000,0.000000,0.480000,neutral,True,0.001368,0.001955,0.002346,0.001759,0,,0,0,1,2026-02-02,,0.002000,0.002900,0.002400,0.004000,0.003300,0.001900
2026-02-03,6669.TW,ticker,ticker,AI Server and Cloud Infrastructure,1,1,0,0,0,0.125000,0.125000,0.125000,0.490000,potentially_positive,True,0.004158,0.005940,0.007128,0.005346,0,,1,0,0,2026-02-02,,0.002500,0.003600,0.003000,0.005000,0.004100,0.002300
2026-02-03,2317.TW,ticker,ticker,AI Server Assembly,1,0,1,0,0,-0.116000,-0.116000,0.116000,0.500000,potentially_negative,True,-0.000738,-0.001055,-0.001266,-0.000949,0,,0,1,0,2026-02-02,,0.003000,0.004300,0.003600,0.006000,0.004900,0.002700
2026-02-03,3711.TW,ticker,ticker,Semiconductor Packaging and Testing,1,0,0,1,0,0.000000,0.000000,0.000000,0.510000,neutral,True,0.001862,0.002660,0.003192,0.002394,0,,0,0,1,2026-02-02,,0.003500,0.005000,0.004200,0.007000,0.005700,0.003100
2026-02-04,2330.TW,ticker,ticker,Semiconductor Foundry,1,1,0,0,0,0.130000,0.130000,0.130000,0.470000,potentially_positive,True,0.004109,0.005870,0.007044,0.005283,0,,1,0,0,2026-02-03,,0.002000,0.003000,0.002400,0.004000,0.003400,0.002200
2026-02-04,2454.TW,ticker,ticker,Semiconductor Design,1,0,1,0,0,-0.104000,-0.104000,0.104000,0.480000,potentially_negative,True,-0.000641,-0.000915,-0.001098,-0.000824,0,,0,1,0,2026-02-03,,0.002500,0.003700,0.003000,0.005000,0.004200,0.002600
2026-02-04,2382.TW,ticker,ticker,AI Server and ODM,1,0,0,1,0,0.000000,0.000000,0.000000,0.490000,neutral,True,0.001708,0.002440,0.002928,0.002196,0,,0,0,1,2026-02-03,,0.003000,0.004400,0.003600,0.006000,0.005000,0.003000
2026-02-04,6669.TW,ticker,ticker,AI Server and Cloud Infrastructure,1,1,0,0,0,0.130000,0.130000,0.130000,0.500000,potentially_positive,True,0.004602,0.006575,0.007890,0.005918,0,,1,0,0,2026-02-03,,0.003500,0.005100,0.004200,0.007000,0.005800,0.003400
2026-02-04,2317.TW,ticker,ticker,AI Server Assembly,1,0,1,0,0,-0.116000,-0.116000,0.116000,0.510000,potentially_negative,True,-0.000399,-0.000570,-0.000684,-0.000513,0,,0,1,0,2026-02-03,,0.004000,0.005800,0.004800,0.008000,0.006600,0.003800
